index_label,region_node,asset_class_node,source,as_of,note
KOSPI200,Region_Korea,AssetClass_Equity,검수 2026-08-25 (수동 노드 — 규칙 미적용분),2026-08-22,펀드 BM 1266
중소형지수,Region_Korea,AssetClass_Equity,검수 2026-08-25 — 국내 펀드 BM (KOSPI 중소형주지수),2026-08-22,펀드 BM 231
MSCI WI,Region_Global,AssetClass_Equity,검수 2026-08-25 — MSCI World Index 약칭,2026-08-22,펀드 BM 48
MSCI WI (USD) ×90% + Call ×10%,Region_Global,AssetClass_Mixed,검수 2026-08-25,2026-08-22,
MSCI WI (KRW) ×90% + Call ×10%,Region_Global,AssetClass_Mixed,검수 2026-08-25,2026-08-22,
MSCI RUSSIA,Region_Emerging,AssetClass_Equity,검수 2026-08-25 — 러시아 노드 없음 → 신흥국,2026-08-22,
나스닥 100,Region_US,AssetClass_Equity,검수 2026-08-25 — 한글 표기,2026-08-22,
다우 산업,Region_US,AssetClass_Equity,검수 2026-08-25 — 다우존스 산업평균 한글 표기,2026-08-22,
유로 스톡스50,Region_Europe,AssetClass_Equity,검수 2026-08-25 — 한글 표기,2026-08-22,
심천 100,Region_China,AssetClass_Equity,검수 2026-08-25 — SZSE 100 한글 표기,2026-08-22,
아멕스 금광업체,Region_US,AssetClass_Equity,검수 2026-08-25 — NYSE Arca Gold Miners(금광 기업 주식·원자재 아님),2026-08-22,
동남아6개국 합성지수(싱가폴지수 MSCI 교체),Region_Asia,AssetClass_Equity,검수 2026-08-25,2026-08-22,
DWGRTT 90%,Region_Global,AssetClass_RealEstate,검수 2026-08-25 — Dow Jones Global Select REIT TR 약칭(수동 index.yaml 노드),2026-08-22,
제로인 대안투자기대수익지수,Region_Korea,AssetClass_Alternatives,검수 2026-08-25 — 제로인 산출 국내 대안투자 BM,2026-08-22,
KAP CD 6개월 90%,Region_Korea,AssetClass_MoneyMarket,검수 2026-08-25 — CD 금리 BM(MMF·단기),2026-08-22,
CALL,Region_Korea,AssetClass_MoneyMarket,검수 2026-08-25 — 콜금리 BM (커버드콜 아님),2026-08-22,펀드 BM 108
JACI IG 90%,Region_Asia,AssetClass_Bond,검수 2026-08-25 — JP Morgan Asia Credit Index,2026-08-22,
JACI Composite,Region_Asia,AssetClass_Bond,검수 2026-08-25 — JP Morgan Asia Credit Index,2026-08-22,
JACI 90%,Region_Asia,AssetClass_Bond,검수 2026-08-25 — JP Morgan Asia Credit Index,2026-08-22,
PIMCO EM Advantage Local Bond Index Src UCITS ETF,Region_Emerging,AssetClass_Bond,검수 2026-08-25,2026-08-22,
바클레이 하이일드 35% + JP 회사채 25% + MSCI ACWI 25% + JP 이머징 15%,Region_Global,AssetClass_Mixed,검수 2026-08-25 — 합성 BM,2026-08-22,
TSE REIT TR 90%,Region_Japan,AssetClass_RealEstate,검수 2026-08-25 — 도쿄증권거래소 REIT,2026-08-22,
CME CF Bitcoin Reference Rate - New York Variant CR USD,,AssetClass_Alternatives,검수 2026-08-25 — 디지털자산(지역 없음),2026-08-22,
CME CF Ether-Dollar Reference Rate NY USD,,AssetClass_Alternatives,검수 2026-08-25 — 디지털자산,2026-08-22,
LBMA Gold Price PM USD,,AssetClass_Commodity,검수 2026-08-25 — 금 현물(지역 없음),2026-08-22,
F-LKTB,Region_Korea,AssetClass_Bond,검수 2026-08-25 — 국채선물 BM,2026-08-22,
F-USDKRW,,AssetClass_Currency,검수 2026-08-25 — 달러선물(지역 없음),2026-08-22,
7RCC Kaiko Bitcoin Carbon Credit USD,,AssetClass_Alternatives,검수 2026-08-25 — 비트코인+탄소배출권(채권 아님),2026-08-22,
AUD Noon Buying Rate,,AssetClass_Currency,검수 2026-08-25,2026-08-22,
VN 90% + CALL 10%,Region_Vietnam,AssetClass_Mixed,검수 2026-08-25,2026-08-22,
Rogers International Commodity TR,,AssetClass_Commodity,검수 2026-08-25 (수동 노드),2026-08-22,
Rogers International Commodity TR 90%,,AssetClass_Commodity,검수 2026-08-25,2026-08-22,
Rogers International Commodity TR in KRW,,AssetClass_Commodity,검수 2026-08-25,2026-08-22,
Bloomberg Commodity TR,,AssetClass_Commodity,검수 2026-08-25,2026-08-22,
Alphabet Inc. Class A,Region_US,AssetClass_Equity,검수 2026-08-25 — 단일종목 ETF 기초,2026-08-22,
Apple Inc.,Region_US,AssetClass_Equity,검수 2026-08-25 — 단일종목 ETF 기초,2026-08-22,
Amazon.com Inc.,Region_US,AssetClass_Equity,검수 2026-08-25 — 단일종목 ETF 기초,2026-08-22,
